Sample Name, Sample-1
Time, March 10 13:30:39 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
588.0, 0.0327, 92.75
588.5, 0.0326, 92.76
589.0, 0.0327, 92.75
589.5, 0.0326, 92.76
590.0, 0.0327, 92.75
590.5, 0.0326, 92.77
591.0, 0.0327, 92.75
591.5, 0.0327, 92.76
592.0, 0.0326, 92.76
592.5, 0.0326, 92.77
593.0, 0.0326, 92.76
593.5, 0.0326, 92.77
594.0, 0.0326, 92.77
594.5, 0.0327, 92.76
595.0, 0.0326, 92.78
595.5, 0.0326, 92.78
596.0, 0.0326, 92.78
596.5, 0.0326, 92.76
597.0, 0.0326, 92.77
597.5, 0.0326, 92.78
598.0, 0.0327, 92.75
598.5, 0.0326, 92.76
599.0, 0.0326, 92.76
599.5, 0.0326, 92.77
600.0, 0.0326, 92.77
600.5, 0.0326, 92.77
601.0, 0.0326, 92.77
601.5, 0.0325, 92.78
602.0, 0.0326, 92.77
602.5, 0.0325, 92.79
603.0, 0.0325, 92.78
603.5, 0.0326, 92.77
604.0, 0.0325, 92.78
604.5, 0.0325, 92.80
605.0, 0.0325, 92.79
605.5, 0.0325, 92.78
606.0, 0.0326, 92.77
606.5, 0.0325, 92.78
607.0, 0.0325, 92.78
607.5, 0.0326, 92.77
608.0, 0.0326, 92.78
608.5, 0.0325, 92.79
609.0, 0.0325, 92.78
609.5, 0.0325, 92.78
610.0, 0.0326, 92.78
610.5, 0.0325, 92.78
611.0, 0.0326, 92.77
611.5, 0.0325, 92.78
612.0, 0.0325, 92.79
612.5, 0.0325, 92.78
613.0, 0.0325, 92.80
613.5, 0.0325, 92.79
614.0, 0.0325, 92.80
614.5, 0.0326, 92.77
615.0, 0.0325, 92.78
615.5, 0.0325, 92.79
616.0, 0.0325, 92.79
616.5, 0.0325, 92.80
617.0, 0.0325, 92.80
617.5, 0.0325, 92.79
618.0, 0.0325, 92.79
618.5, 0.0325, 92.80
619.0, 0.0325, 92.78
619.5, 0.0325, 92.78
620.0, 0.0324, 92.80
620.5, 0.0325, 92.80
621.0, 0.0324, 92.81
621.5, 0.0324, 92.81
622.0, 0.0324, 92.80
622.5, 0.0325, 92.78
623.0, 0.0324, 92.81
623.5, 0.0324, 92.81
624.0, 0.0324, 92.81
624.5, 0.0325, 92.79
625.0, 0.0324, 92.80
625.5, 0.0325, 92.79
626.0, 0.0325, 92.79
626.5, 0.0325, 92.80
